20160218:130402348;1,43689
20160218:130402666;1,43689
20160218:130402979;1,4369
20160218:130403272;1,4369
20160218:130403553;1,4369
20160218:130403849;1,4369
20160218:130404139;1,43689
20160218:130404413;1,43689
20160218:130404727;1,43689
20160218:130405019;1,43689
20160218:130405318;1,43689
20160218:130405618;1,43689
20160218:130405927;1,43689
20160218:130406222;1,43689
20160218:130406509;1,43689
20160218:130406794;1,43696
20160218:130407087;1,43696
20160218:130407382;1,43696
20160218:130407670;1,43696
20160218:130407965;1,43696
20160218:130408256;1,43696
20160218:130408555;1,43696
20160218:130408840;1,43696
20160218:130409134;1,43696
20160218:130409422;1,43696
20160218:130409703;1,43696
20160218:130410001;1,43696
20160218:130410314;1,43696
20160218:130410602;1,43695
20160218:130410901;1,43695
20160218:130411191;1,43695
20160218:130411501;1,43695
20160218:130411793;1,43695
20160218:130412086;1,43691
20160218:130412384;1,43691
20160218:130412682;1,43691
20160218:130412998;1,43691
20160218:130413287;1,43694
20160218:130413583;1,43694
20160218:130413867;1,43694
20160218:130414151;1,43694
20160218:130414426;1,43694
20160218:130414694;1,43692
20160218:130414972;1,43692
20160218:130415251;1,43692
20160218:130415537;1,43692
20160218:130415816;1,43692
20160218:130416090;1,43696
20160218:130416843;1,43696
20160218:130417135;1,43696
20160218:130417440;1,43697
20160218:130417746;1,43697
20160218:130418521;1,43697
20160218:130428480;1,43692
20160218:130430615;1,43692
20160218:130430963;1,43692
20160218:130431263;1,43692
20160218:130431569;1,43692
20160218:130431858;1,43692
20160218:130432179;1,43692
20160218:130432505;1,43689
20160218:130432806;1,43689
20160218:130433107;1,43689
20160218:130433399;1,43689
20160218:130433728;1,43689
20160218:130434058;1,43689
20160218:130434348;1,43688
20160218:130434643;1,43688
20160218:130434931;1,43688
20160218:130435226;1,43688
20160218:130435531;1,43687
20160218:130435819;1,43687
20160218:130436172;1,43687
20160218:130436461;1,43687
20160218:130436775;1,43687
20160218:130437080;1,43686
20160218:130437373;1,43686
20160218:130437688;1,43686
20160218:130437988;1,43686
20160218:130438292;1,43686
20160218:130438591;1,43686
20160218:130438894;1,43686
20160218:130439173;1,43686
20160218:130439501;1,43686
20160218:130439823;1,43686
20160218:130440137;1,43686
20160218:130440449;1,43686
20160218:130440759;1,43686
20160218:130441071;1,43686
20160218:130441365;1,43686
20160218:130441680;1,43686
20160218:130441984;1,43686
20160218:130442284;1,43686
20160218:130442572;1,43686
20160218:130442866;1,43686
20160218:130443158;1,43686
20160218:130443446;1,43691
20160218:130443737;1,43691
20160218:130444031;1,43691
20160218:130444345;1,43691
20160218:130444653;1,43691
20160218:130444969;1,43692
20160218:130445279;1,43692
20160218:130445590;1,43692
20160218:130445889;1,43692
20160218:130446229;1,43689
20160218:130446616;1,43689
20160218:130446947;1,43689
20160218:130447261;1,4369
20160218:130447562;1,4369
20160218:130447870;1,4369
20160218:130448178;1,4369
20160218:130448549;1,4369
20160218:130448885;1,4369
20160218:130449190;1,4369
20160218:130449522;1,43702
20160218:130449833;1,43702
20160218:130450148;1,43702
20160218:130450465;1,43702
20160218:130450759;1,43702
20160218:130451047;1,43705
20160218:130451352;1,43705
20160218:130451723;1,43705
20160218:130452032;1,43705
20160218:130452361;1,43607
20160218:130452651;1,43607
20160218:130452959;1,43607
20160218:130453274;1,43607
20160218:130453579;1,43696
20160218:130453873;1,43696
20160218:130454179;1,43696
20160218:130454470;1,43696
20160218:130454789;1,43696
20160218:130455099;1,43695
20160218:130455412;1,43695
20160218:130455713;1,43695
20160218:130456033;1,43695
20160218:130456368;1,43695
20160218:130456712;1,43696
20160218:130457040;1,43696
20160218:130457343;1,43696
20160218:130457661;1,43696
20160218:130457958;1,43696
20160218:130458268;1,43696
20160218:130458571;1,43696
20160218:130458862;1,43696
20160218:130459157;1,43696
20160218:130459445;1,43696
