20160219:000006298;1,1109
20160219:000008411;1,1109
20160219:000011833;1,11089
20160219:000013533;1,11078
20160219:000013905;1,11078
20160219:000014293;1,11078
20160219:000014668;1,11076
20160219:000015023;1,11076
20160219:000015372;1,11076
20160219:000015723;1,11076
20160219:000016093;1,11078
20160219:000016444;1,11078
20160219:000016781;1,11078
20160219:000017142;1,11078
20160219:000017499;1,11077
20160219:000017839;1,11077
20160219:000021235;1,1108
20160219:000021576;1,11084
20160219:000021920;1,11084
20160219:000022260;1,11084
20160219:000022647;1,11084
20160219:000023086;1,11085
20160219:000023510;1,11085
20160219:000023862;1,11085
20160219:000026426;1,11086
20160219:000026815;1,11085
20160219:000027238;1,11085
20160219:000027571;1,11085
20160219:000027921;1,11085
20160219:000028273;1,11086
20160219:000028623;1,11086
20160219:000029008;1,11086
20160219:000029371;1,11086
20160219:000029792;1,11087
20160219:000030118;1,11087
20160219:000030474;1,11087
20160219:000030848;1,11087
20160219:000031208;1,11086
20160219:000031548;1,11086
20160219:000031886;1,11086
20160219:000032261;1,11086
20160219:000032655;1,11086
20160219:000033010;1,11086
20160219:000033487;1,11084
20160219:000033835;1,11084
20160219:000034187;1,11084
20160219:000034544;1,11085
20160219:000035008;1,11085
20160219:000035371;1,11085
20160219:000035747;1,11085
20160219:000036103;1,11085
20160219:000036432;1,11085
20160219:000036777;1,11085
20160219:000037146;1,11085
20160219:000037521;1,11085
20160219:000037933;1,11086
20160219:000038331;1,11086
20160219:000039301;1,11085
20160219:000039724;1,11085
20160219:000040080;1,11085
20160219:000040433;1,11087
20160219:000040799;1,11087
20160219:000041200;1,11087
20160219:000041562;1,11087
20160219:000041945;1,11085
20160219:000042325;1,11085
20160219:000042773;1,11085
20160219:000043132;1,11086
20160219:000043525;1,11086
20160219:000043897;1,11086
20160219:000044267;1,11086
20160219:000044599;1,11086
20160219:000044974;1,11085
20160219:000045341;1,11085
20160219:000045705;1,11085
20160219:000046041;1,11085
20160219:000046414;1,11085
20160219:000046797;1,11106
20160219:000047189;1,11106
